year,level_1,level_2,value
1975,Male Age Specific Death Rate,75 - 79 Years,na
1975,Male Age Specific Death Rate,80 - 84 Years,na
1975,Male Age Specific Death Rate,85 Years & Over,na
1975,Female Age Specific Death Rate,Under 1 Year,11.6
1975,Female Age Specific Death Rate,1  -  4 Years,0.9
1975,Female Age Specific Death Rate,5  -  9 Years,0.3
1975,Female Age Specific Death Rate,10 - 14 Years,0.3
1975,Female Age Specific Death Rate,15 - 19 Years,0.3
1975,Female Age Specific Death Rate,20 - 24 Years,0.7
1975,Female Age Specific Death Rate,25 - 29 Years,0.8
1975,Female Age Specific Death Rate,30 - 34 Years,1.1
1975,Female Age Specific Death Rate,35 - 39 Years,1.5
1975,Female Age Specific Death Rate,40 - 44 Years,2.7
1975,Female Age Specific Death Rate,45 - 49 Years,3.8
1975,Female Age Specific Death Rate,50 - 54 Years,6.4
1975,Female Age Specific Death Rate,55 - 59 Years,9.9
1975,Female Age Specific Death Rate,60 - 64 Years,14.8
1975,Female Age Specific Death Rate,65 - 69 Years,26.5
1975,Female Age Specific Death Rate,70 - 74 Years,na
1975,Female Age Specific Death Rate,75 Years & Over,na
1975,Female Age Specific Death Rate,70 Years & Over,66.6
1975,Female Age Specific Death Rate,75 - 79 Years,na
1975,Female Age Specific Death Rate,80 - 84 Years,na
1975,Female Age Specific Death Rate,85 Years & Over,na
1975,Total Age Specific Death Rate,Under 1 Year,13.9
1975,Total Age Specific Death Rate,1  -  4 Years,0.9
1975,Total Age Specific Death Rate,5  -  9 Years,0.3
1975,Total Age Specific Death Rate,10 - 14 Years,0.4
1975,Total Age Specific Death Rate,15 - 19 Years,0.5
1975,Total Age Specific Death Rate,20 - 24 Years,1
1975,Total Age Specific Death Rate,25 - 29 Years,1.1
1975,Total Age Specific Death Rate,30 - 34 Years,1.5
1975,Total Age Specific Death Rate,35 - 39 Years,1.9
1975,Total Age Specific Death Rate,40 - 44 Years,3.4
1975,Total Age Specific Death Rate,45 - 49 Years,5.7
1975,Total Age Specific Death Rate,50 - 54 Years,9.2
1975,Total Age Specific Death Rate,55 - 59 Years,14.8
1975,Total Age Specific Death Rate,60 - 64 Years,21.8
1975,Total Age Specific Death Rate,65 - 69 Years,37.8
1975,Total Age Specific Death Rate,70 - 74 Years,na
1975,Total Age Specific Death Rate,75 Years & Over,na
1975,Total Age Specific Death Rate,70 Years & Over,78.4
1975,Total Age Specific Death Rate,75 - 79 Years,na
1975,Total Age Specific Death Rate,80 - 84 Years,na
1975,Total Age Specific Death Rate,85 Years & Over,na
1976,Male Age Specific Death Rate,Under 1 Year,13.7
1976,Male Age Specific Death Rate,1  -  4 Years,0.8
1976,Male Age Specific Death Rate,5  -  9 Years,0.4
1976,Male Age Specific Death Rate,10 - 14 Years,0.5
1976,Male Age Specific Death Rate,15 - 19 Years,0.8
1976,Male Age Specific Death Rate,20 - 24 Years,1.2
1976,Male Age Specific Death Rate,25 - 29 Years,1.2
1976,Male Age Specific Death Rate,30 - 34 Years,1.5
1976,Male Age Specific Death Rate,35 - 39 Years,2.4
1976,Male Age Specific Death Rate,40 - 44 Years,3.9
1976,Male Age Specific Death Rate,45 - 49 Years,6.6
1976,Male Age Specific Death Rate,50 - 54 Years,11
1976,Male Age Specific Death Rate,55 - 59 Years,19.4
1976,Male Age Specific Death Rate,60 - 64 Years,30.9
1976,Male Age Specific Death Rate,65 - 69 Years,45.9
1976,Male Age Specific Death Rate,70 - 74 Years,na
1976,Male Age Specific Death Rate,75 Years & Over,na
1976,Male Age Specific Death Rate,70 Years & Over,93.1
1976,Male Age Specific Death Rate,75 - 79 Years,na
1976,Male Age Specific Death Rate,80 - 84 Years,na
1976,Male Age Specific Death Rate,85 Years & Over,na
1976,Female Age Specific Death Rate,Under 1 Year,9.4
1976,Female Age Specific Death Rate,1  -  4 Years,0.6
1976,Female Age Specific Death Rate,5  -  9 Years,0.3
1976,Female Age Specific Death Rate,10 - 14 Years,0.3
1976,Female Age Specific Death Rate,15 - 19 Years,0.4
1976,Female Age Specific Death Rate,20 - 24 Years,0.6
1976,Female Age Specific Death Rate,25 - 29 Years,0.7
1976,Female Age Specific Death Rate,30 - 34 Years,1
1976,Female Age Specific Death Rate,35 - 39 Years,1.4
1976,Female Age Specific Death Rate,40 - 44 Years,1.9
1976,Female Age Specific Death Rate,45 - 49 Years,3.6
1976,Female Age Specific Death Rate,50 - 54 Years,6.6
1976,Female Age Specific Death Rate,55 - 59 Years,9.2
1976,Female Age Specific Death Rate,60 - 64 Years,15.3
1976,Female Age Specific Death Rate,65 - 69 Years,26.9
1976,Female Age Specific Death Rate,70 - 74 Years,na
1976,Female Age Specific Death Rate,75 Years & Over,na
1976,Female Age Specific Death Rate,70 Years & Over,71.7
1976,Female Age Specific Death Rate,75 - 79 Years,na
1976,Female Age Specific Death Rate,80 - 84 Years,na
1976,Female Age Specific Death Rate,85 Years & Over,na
1976,Total Age Specific Death Rate,Under 1 Year,11.6
1976,Total Age Specific Death Rate,1  -  4 Years,0.7
1976,Total Age Specific Death Rate,5  -  9 Years,0.4
1976,Total Age Specific Death Rate,10 - 14 Years,0.4
1976,Total Age Specific Death Rate,15 - 19 Years,0.6
1976,Total Age Specific Death Rate,20 - 24 Years,0.9
1976,Total Age Specific Death Rate,25 - 29 Years,1
1976,Total Age Specific Death Rate,30 - 34 Years,1.2
1976,Total Age Specific Death Rate,35 - 39 Years,1.9
1976,Total Age Specific Death Rate,40 - 44 Years,2.9
1976,Total Age Specific Death Rate,45 - 49 Years,5.2
1976,Total Age Specific Death Rate,50 - 54 Years,8.9
1976,Total Age Specific Death Rate,55 - 59 Years,14.5
1976,Total Age Specific Death Rate,60 - 64 Years,23.1
1976,Total Age Specific Death Rate,65 - 69 Years,36.3
1976,Total Age Specific Death Rate,70 - 74 Years,na
1976,Total Age Specific Death Rate,75 Years & Over,na
1976,Total Age Specific Death Rate,70 Years & Over,80.7
1976,Total Age Specific Death Rate,75 - 79 Years,na
1976,Total Age Specific Death Rate,80 - 84 Years,na
1976,Total Age Specific Death Rate,85 Years & Over,na
1977,Male Age Specific Death Rate,Under 1 Year,14.6
1977,Male Age Specific Death Rate,1  -  4 Years,0.7
1977,Male Age Specific Death Rate,5  -  9 Years,0.4
1977,Male Age Specific Death Rate,10 - 14 Years,0.4
1977,Male Age Specific Death Rate,15 - 19 Years,0.8
1977,Male Age Specific Death Rate,20 - 24 Years,1
1977,Male Age Specific Death Rate,25 - 29 Years,1.4
1977,Male Age Specific Death Rate,30 - 34 Years,1.2
1977,Male Age Specific Death Rate,35 - 39 Years,2.3
1977,Male Age Specific Death Rate,40 - 44 Years,3.6
1977,Male Age Specific Death Rate,45 - 49 Years,6.5
1977,Male Age Specific Death Rate,50 - 54 Years,11.6
1977,Male Age Specific Death Rate,55 - 59 Years,18.8
1977,Male Age Specific Death Rate,60 - 64 Years,31.1
1977,Male Age Specific Death Rate,65 - 69 Years,44.8
1977,Male Age Specific Death Rate,70 - 74 Years,na
1977,Male Age Specific Death Rate,75 Years & Over,na
1977,Male Age Specific Death Rate,70 Years & Over,92
1977,Male Age Specific Death Rate,75 - 79 Years,na
1977,Male Age Specific Death Rate,80 - 84 Years,na
1977,Male Age Specific Death Rate,85 Years & Over,na
1977,Female Age Specific Death Rate,Under 1 Year,9.9
1977,Female Age Specific Death Rate,1  -  4 Years,0.7
1977,Female Age Specific Death Rate,5  -  9 Years,0.3
1977,Female Age Specific Death Rate,10 - 14 Years,0.3
1977,Female Age Specific Death Rate,15 - 19 Years,0.5
1977,Female Age Specific Death Rate,20 - 24 Years,0.5
1977,Female Age Specific Death Rate,25 - 29 Years,0.6
1977,Female Age Specific Death Rate,30 - 34 Years,0.9
1977,Female Age Specific Death Rate,35 - 39 Years,1.3
1977,Female Age Specific Death Rate,40 - 44 Years,2.2
1977,Female Age Specific Death Rate,45 - 49 Years,3
1977,Female Age Specific Death Rate,50 - 54 Years,6.7
1977,Female Age Specific Death Rate,55 - 59 Years,10.7
1977,Female Age Specific Death Rate,60 - 64 Years,17
1977,Female Age Specific Death Rate,65 - 69 Years,29.2
1977,Female Age Specific Death Rate,70 - 74 Years,na
1977,Female Age Specific Death Rate,75 Years & Over,na
1977,Female Age Specific Death Rate,70 Years & Over,70.4
1977,Female Age Specific Death Rate,75 - 79 Years,na
1977,Female Age Specific Death Rate,80 - 84 Years,na
1977,Female Age Specific Death Rate,85 Years & Over,na
1977,Total Age Specific Death Rate,Under 1 Year,12.4
1977,Total Age Specific Death Rate,1  -  4 Years,0.7
1977,Total Age Specific Death Rate,5  -  9 Years,0.4
1977,Total Age Specific Death Rate,10 - 14 Years,0.3
1977,Total Age Specific Death Rate,15 - 19 Years,0.7
1977,Total Age Specific Death Rate,20 - 24 Years,0.8
1977,Total Age Specific Death Rate,25 - 29 Years,1
1977,Total Age Specific Death Rate,30 - 34 Years,1.1
1977,Total Age Specific Death Rate,35 - 39 Years,1.8
1977,Total Age Specific Death Rate,40 - 44 Years,2.9
1977,Total Age Specific Death Rate,45 - 49 Years,4.8
1977,Total Age Specific Death Rate,50 - 54 Years,9.3
1977,Total Age Specific Death Rate,55 - 59 Years,14.9
1977,Total Age Specific Death Rate,60 - 64 Years,24
1977,Total Age Specific Death Rate,65 - 69 Years,36.9
1977,Total Age Specific Death Rate,70 - 74 Years,na
1977,Total Age Specific Death Rate,75 Years & Over,na
1977,Total Age Specific Death Rate,70 Years & Over,79.5
1977,Total Age Specific Death Rate,75 - 79 Years,na
1977,Total Age Specific Death Rate,80 - 84 Years,na
1977,Total Age Specific Death Rate,85 Years & Over,na
1978,Male Age Specific Death Rate,Under 1 Year,14.9
1978,Male Age Specific Death Rate,1  -  4 Years,0.8
1978,Male Age Specific Death Rate,5  -  9 Years,0.4
1978,Male Age Specific Death Rate,10 - 14 Years,0.3
1978,Male Age Specific Death Rate,15 - 19 Years,0.8
1978,Male Age Specific Death Rate,20 - 24 Years,1.4
1978,Male Age Specific Death Rate,25 - 29 Years,1.5
1978,Male Age Specific Death Rate,30 - 34 Years,1.8
1978,Male Age Specific Death Rate,35 - 39 Years,2.1
1978,Male Age Specific Death Rate,40 - 44 Years,3.4
1978,Male Age Specific Death Rate,45 - 49 Years,6.3
1978,Male Age Specific Death Rate,50 - 54 Years,10.4
1978,Male Age Specific Death Rate,55 - 59 Years,17.5
1978,Male Age Specific Death Rate,60 - 64 Years,28.5
1978,Male Age Specific Death Rate,65 - 69 Years,44.5
1978,Male Age Specific Death Rate,70 - 74 Years,na
1978,Male Age Specific Death Rate,75 Years & Over,na
1978,Male Age Specific Death Rate,70 Years & Over,90.3
1978,Male Age Specific Death Rate,75 - 79 Years,na
1978,Male Age Specific Death Rate,80 - 84 Years,na
1978,Male Age Specific Death Rate,85 Years & Over,na
1978,Female Age Specific Death Rate,Under 1 Year,10.1
1978,Female Age Specific Death Rate,1  -  4 Years,0.6
1978,Female Age Specific Death Rate,5  -  9 Years,0.2
1978,Female Age Specific Death Rate,10 - 14 Years,0.2
1978,Female Age Specific Death Rate,15 - 19 Years,0.5
1978,Female Age Specific Death Rate,20 - 24 Years,0.6
1978,Female Age Specific Death Rate,25 - 29 Years,0.7
1978,Female Age Specific Death Rate,30 - 34 Years,0.9
1978,Female Age Specific Death Rate,35 - 39 Years,1.4
1978,Female Age Specific Death Rate,40 - 44 Years,2.2
1978,Female Age Specific Death Rate,45 - 49 Years,3.5
1978,Female Age Specific Death Rate,50 - 54 Years,5.9
1978,Female Age Specific Death Rate,55 - 59 Years,9.8
1978,Female Age Specific Death Rate,60 - 64 Years,15.7
1978,Female Age Specific Death Rate,65 - 69 Years,27.9
1978,Female Age Specific Death Rate,70 - 74 Years,na
1978,Female Age Specific Death Rate,75 Years & Over,na
1978,Female Age Specific Death Rate,70 Years & Over,68.5
1978,Female Age Specific Death Rate,75 - 79 Years,na
1978,Female Age Specific Death Rate,80 - 84 Years,na
1978,Female Age Specific Death Rate,85 Years & Over,na
1978,Total Age Specific Death Rate,Under 1 Year,12.6
1978,Total Age Specific Death Rate,1  -  4 Years,0.7
1978,Total Age Specific Death Rate,5  -  9 Years,0.3
1978,Total Age Specific Death Rate,10 - 14 Years,0.3
1978,Total Age Specific Death Rate,15 - 19 Years,0.7
1978,Total Age Specific Death Rate,20 - 24 Years,1
1978,Total Age Specific Death Rate,25 - 29 Years,1.1
1978,Total Age Specific Death Rate,30 - 34 Years,1.4
1978,Total Age Specific Death Rate,35 - 39 Years,1.7
1978,Total Age Specific Death Rate,40 - 44 Years,2.8
1978,Total Age Specific Death Rate,45 - 49 Years,5
1978,Total Age Specific Death Rate,50 - 54 Years,8.3
1978,Total Age Specific Death Rate,55 - 59 Years,13.8
1978,Total Age Specific Death Rate,60 - 64 Years,22.1
1978,Total Age Specific Death Rate,65 - 69 Years,35.9
1978,Total Age Specific Death Rate,70 - 74 Years,na
1978,Total Age Specific Death Rate,75 Years & Over,na
1978,Total Age Specific Death Rate,70 Years & Over,77.7
1978,Total Age Specific Death Rate,75 - 79 Years,na
1978,Total Age Specific Death Rate,80 - 84 Years,na
1978,Total Age Specific Death Rate,85 Years & Over,na
1979,Male Age Specific Death Rate,Under 1 Year,14.3
1979,Male Age Specific Death Rate,1  -  4 Years,0.6
1979,Male Age Specific Death Rate,5  -  9 Years,0.3
1979,Male Age Specific Death Rate,10 - 14 Years,0.4
1979,Male Age Specific Death Rate,15 - 19 Years,0.8
1979,Male Age Specific Death Rate,20 - 24 Years,1.2
1979,Male Age Specific Death Rate,25 - 29 Years,1.2
1979,Male Age Specific Death Rate,30 - 34 Years,1.2
1979,Male Age Specific Death Rate,35 - 39 Years,1.8
1979,Male Age Specific Death Rate,40 - 44 Years,3.6
1979,Male Age Specific Death Rate,45 - 49 Years,5.8
1979,Male Age Specific Death Rate,50 - 54 Years,11.3
1979,Male Age Specific Death Rate,55 - 59 Years,19
1979,Male Age Specific Death Rate,60 - 64 Years,29.7
1979,Male Age Specific Death Rate,65 - 69 Years,43.5
1979,Male Age Specific Death Rate,70 - 74 Years,na
1979,Male Age Specific Death Rate,75 Years & Over,na
1979,Male Age Specific Death Rate,70 Years & Over,92.2
1979,Male Age Specific Death Rate,75 - 79 Years,na
1979,Male Age Specific Death Rate,80 - 84 Years,na
1979,Male Age Specific Death Rate,85 Years & Over,na
1979,Female Age Specific Death Rate,Under 1 Year,12
1979,Female Age Specific Death Rate,1  -  4 Years,0.8
1979,Female Age Specific Death Rate,5  -  9 Years,0.3
1979,Female Age Specific Death Rate,10 - 14 Years,0.3
1979,Female Age Specific Death Rate,15 - 19 Years,0.5
1979,Female Age Specific Death Rate,20 - 24 Years,0.5
1979,Female Age Specific Death Rate,25 - 29 Years,0.8
1979,Female Age Specific Death Rate,30 - 34 Years,0.9
1979,Female Age Specific Death Rate,35 - 39 Years,1.5
1979,Female Age Specific Death Rate,40 - 44 Years,2.1
1979,Female Age Specific Death Rate,45 - 49 Years,3.5
1979,Female Age Specific Death Rate,50 - 54 Years,5.9
1979,Female Age Specific Death Rate,55 - 59 Years,9.2
1979,Female Age Specific Death Rate,60 - 64 Years,16.2
1979,Female Age Specific Death Rate,65 - 69 Years,26.3
1979,Female Age Specific Death Rate,70 - 74 Years,na
1979,Female Age Specific Death Rate,75 Years & Over,na
1979,Female Age Specific Death Rate,70 Years & Over,70
1979,Female Age Specific Death Rate,75 - 79 Years,na
1979,Female Age Specific Death Rate,80 - 84 Years,na
1979,Female Age Specific Death Rate,85 Years & Over,na
1979,Total Age Specific Death Rate,Under 1 Year,13.2
1979,Total Age Specific Death Rate,1  -  4 Years,0.7
1979,Total Age Specific Death Rate,5  -  9 Years,0.3
1979,Total Age Specific Death Rate,10 - 14 Years,0.4
1979,Total Age Specific Death Rate,15 - 19 Years,0.7
1979,Total Age Specific Death Rate,20 - 24 Years,0.8
1979,Total Age Specific Death Rate,25 - 29 Years,1
1979,Total Age Specific Death Rate,30 - 34 Years,1
1979,Total Age Specific Death Rate,35 - 39 Years,1.6
1979,Total Age Specific Death Rate,40 - 44 Years,2.9
1979,Total Age Specific Death Rate,45 - 49 Years,4.7
1979,Total Age Specific Death Rate,50 - 54 Years,8.7
1979,Total Age Specific Death Rate,55 - 59 Years,14.3
1979,Total Age Specific Death Rate,60 - 64 Years,22.9
1979,Total Age Specific Death Rate,65 - 69 Years,34.6
1979,Total Age Specific Death Rate,70 - 74 Years,na
1979,Total Age Specific Death Rate,75 Years & Over,na
1979,Total Age Specific Death Rate,70 Years & Over,79.4
1979,Total Age Specific Death Rate,75 - 79 Years,na
1979,Total Age Specific Death Rate,80 - 84 Years,na
1979,Total Age Specific Death Rate,85 Years & Over,na
1980,Male Age Specific Death Rate,Under 1 Year,8.3
1980,Male Age Specific Death Rate,1  -  4 Years,0.7
1980,Male Age Specific Death Rate,5  -  9 Years,0.2
1980,Male Age Specific Death Rate,10 - 14 Years,0.3
1980,Male Age Specific Death Rate,15 - 19 Years,0.7
1980,Male Age Specific Death Rate,20 - 24 Years,1.2
1980,Male Age Specific Death Rate,25 - 29 Years,1.2
1980,Male Age Specific Death Rate,30 - 34 Years,1.3
1980,Male Age Specific Death Rate,35 - 39 Years,1.6
1980,Male Age Specific Death Rate,40 - 44 Years,2.9
1980,Male Age Specific Death Rate,45 - 49 Years,5.9
1980,Male Age Specific Death Rate,50 - 54 Years,9.7
1980,Male Age Specific Death Rate,55 - 59 Years,15.3
1980,Male Age Specific Death Rate,60 - 64 Years,26.8
1980,Male Age Specific Death Rate,65 - 69 Years,42.3
1980,Male Age Specific Death Rate,70 - 74 Years,59.1
1980,Male Age Specific Death Rate,75 Years & Over,111.3
1980,Male Age Specific Death Rate,70 Years & Over,82
1980,Male Age Specific Death Rate,75 - 79 Years,91.6
1980,Male Age Specific Death Rate,80 - 84 Years,134.4
1980,Male Age Specific Death Rate,85 Years & Over,180.3
1980,Female Age Specific Death Rate,Under 1 Year,7.7
1980,Female Age Specific Death Rate,1  -  4 Years,0.6
1980,Female Age Specific Death Rate,5  -  9 Years,0.3
1980,Female Age Specific Death Rate,10 - 14 Years,0.3
1980,Female Age Specific Death Rate,15 - 19 Years,0.4
1980,Female Age Specific Death Rate,20 - 24 Years,0.6
1980,Female Age Specific Death Rate,25 - 29 Years,0.5
1980,Female Age Specific Death Rate,30 - 34 Years,0.8
1980,Female Age Specific Death Rate,35 - 39 Years,1
1980,Female Age Specific Death Rate,40 - 44 Years,1.8
1980,Female Age Specific Death Rate,45 - 49 Years,3.1
1980,Female Age Specific Death Rate,50 - 54 Years,5
1980,Female Age Specific Death Rate,55 - 59 Years,10.3
1980,Female Age Specific Death Rate,60 - 64 Years,14.9
1980,Female Age Specific Death Rate,65 - 69 Years,25.1
1980,Female Age Specific Death Rate,70 - 74 Years,38.9
1980,Female Age Specific Death Rate,75 Years & Over,87.2
1980,Female Age Specific Death Rate,70 Years & Over,64
1980,Female Age Specific Death Rate,75 - 79 Years,61.3
1980,Female Age Specific Death Rate,80 - 84 Years,94.9
1980,Female Age Specific Death Rate,85 Years & Over,159.1
1980,Total Age Specific Death Rate,Under 1 Year,8
1980,Total Age Specific Death Rate,1  -  4 Years,0.6
1980,Total Age Specific Death Rate,5  -  9 Years,0.2
1980,Total Age Specific Death Rate,10 - 14 Years,0.3
1980,Total Age Specific Death Rate,15 - 19 Years,0.6
1980,Total Age Specific Death Rate,20 - 24 Years,0.9
1980,Total Age Specific Death Rate,25 - 29 Years,0.9
1980,Total Age Specific Death Rate,30 - 34 Years,1.1
1980,Total Age Specific Death Rate,35 - 39 Years,1.3
1980,Total Age Specific Death Rate,40 - 44 Years,2.3
1980,Total Age Specific Death Rate,45 - 49 Years,4.5
1980,Total Age Specific Death Rate,50 - 54 Years,7.4
1980,Total Age Specific Death Rate,55 - 59 Years,12.8
1980,Total Age Specific Death Rate,60 - 64 Years,20.8
1980,Total Age Specific Death Rate,65 - 69 Years,33.4
1980,Total Age Specific Death Rate,70 - 74 Years,48.3
1980,Total Age Specific Death Rate,75 Years & Over,96.5
1980,Total Age Specific Death Rate,70 Years & Over,71.6
1980,Total Age Specific Death Rate,75 - 79 Years,74.1
1980,Total Age Specific Death Rate,80 - 84 Years,109
1980,Total Age Specific Death Rate,85 Years & Over,165
1981,Male Age Specific Death Rate,Under 1 Year,9
1981,Male Age Specific Death Rate,1  -  4 Years,0.5
1981,Male Age Specific Death Rate,5  -  9 Years,0.3
1981,Male Age Specific Death Rate,10 - 14 Years,0.3
1981,Male Age Specific Death Rate,15 - 19 Years,0.9
1981,Male Age Specific Death Rate,20 - 24 Years,0.9
1981,Male Age Specific Death Rate,25 - 29 Years,1.2
1981,Male Age Specific Death Rate,30 - 34 Years,1.1
1981,Male Age Specific Death Rate,35 - 39 Years,1.6
1981,Male Age Specific Death Rate,40 - 44 Years,2.6
1981,Male Age Specific Death Rate,45 - 49 Years,5.5
1981,Male Age Specific Death Rate,50 - 54 Years,10
1981,Male Age Specific Death Rate,55 - 59 Years,16.3
1981,Male Age Specific Death Rate,60 - 64 Years,26
1981,Male Age Specific Death Rate,65 - 69 Years,42.2
1981,Male Age Specific Death Rate,70 - 74 Years,59.3
1981,Male Age Specific Death Rate,75 Years & Over,105.7
1981,Male Age Specific Death Rate,70 Years & Over,79.5
1981,Male Age Specific Death Rate,75 - 79 Years,na
1981,Male Age Specific Death Rate,80 - 84 Years,na
1981,Male Age Specific Death Rate,85 Years & Over,na
1981,Female Age Specific Death Rate,Under 1 Year,7.4
1981,Female Age Specific Death Rate,1  -  4 Years,0.7
1981,Female Age Specific Death Rate,5  -  9 Years,0.3
1981,Female Age Specific Death Rate,10 - 14 Years,0.3
1981,Female Age Specific Death Rate,15 - 19 Years,0.4
1981,Female Age Specific Death Rate,20 - 24 Years,0.5
1981,Female Age Specific Death Rate,25 - 29 Years,0.6
1981,Female Age Specific Death Rate,30 - 34 Years,0.7
1981,Female Age Specific Death Rate,35 - 39 Years,1.1
1981,Female Age Specific Death Rate,40 - 44 Years,1.9
1981,Female Age Specific Death Rate,45 - 49 Years,3.4
1981,Female Age Specific Death Rate,50 - 54 Years,6.5
1981,Female Age Specific Death Rate,55 - 59 Years,9
1981,Female Age Specific Death Rate,60 - 64 Years,14.7
1981,Female Age Specific Death Rate,65 - 69 Years,23
1981,Female Age Specific Death Rate,70 - 74 Years,38.4
1981,Female Age Specific Death Rate,75 Years & Over,86.7
1981,Female Age Specific Death Rate,70 Years & Over,63.4
1981,Female Age Specific Death Rate,75 - 79 Years,na
1981,Female Age Specific Death Rate,80 - 84 Years,na
1981,Female Age Specific Death Rate,85 Years & Over,na
1981,Total Age Specific Death Rate,Under 1 Year,8.2
1981,Total Age Specific Death Rate,1  -  4 Years,0.6
1981,Total Age Specific Death Rate,5  -  9 Years,0.3
1981,Total Age Specific Death Rate,10 - 14 Years,0.3
1981,Total Age Specific Death Rate,15 - 19 Years,0.6
1981,Total Age Specific Death Rate,20 - 24 Years,0.7
1981,Total Age Specific Death Rate,25 - 29 Years,0.9
1981,Total Age Specific Death Rate,30 - 34 Years,0.9
1981,Total Age Specific Death Rate,35 - 39 Years,1.4
1981,Total Age Specific Death Rate,40 - 44 Years,2.2
1981,Total Age Specific Death Rate,45 - 49 Years,4.5
1981,Total Age Specific Death Rate,50 - 54 Years,8.3
1981,Total Age Specific Death Rate,55 - 59 Years,12.8
1981,Total Age Specific Death Rate,60 - 64 Years,20.3
1981,Total Age Specific Death Rate,65 - 69 Years,32.2
1981,Total Age Specific Death Rate,70 - 74 Years,48.2
1981,Total Age Specific Death Rate,75 Years & Over,94.1
1981,Total Age Specific Death Rate,70 Years & Over,70.3
1981,Total Age Specific Death Rate,75 - 79 Years,na
1981,Total Age Specific Death Rate,80 - 84 Years,na
1981,Total Age Specific Death Rate,85 Years & Over,na
1982,Male Age Specific Death Rate,Under 1 Year,11.6
1982,Male Age Specific Death Rate,1  -  4 Years,0.6
1982,Male Age Specific Death Rate,5  -  9 Years,0.3
1982,Male Age Specific Death Rate,10 - 14 Years,0.4
1982,Male Age Specific Death Rate,15 - 19 Years,0.9
1982,Male Age Specific Death Rate,20 - 24 Years,1.1
1982,Male Age Specific Death Rate,25 - 29 Years,1
1982,Male Age Specific Death Rate,30 - 34 Years,1.2
1982,Male Age Specific Death Rate,35 - 39 Years,1.6
1982,Male Age Specific Death Rate,40 - 44 Years,2.7
1982,Male Age Specific Death Rate,45 - 49 Years,5.2
1982,Male Age Specific Death Rate,50 - 54 Years,9.2
1982,Male Age Specific Death Rate,55 - 59 Years,16
1982,Male Age Specific Death Rate,60 - 64 Years,24.9
1982,Male Age Specific Death Rate,65 - 69 Years,37.6
1982,Male Age Specific Death Rate,70 - 74 Years,60.1
1982,Male Age Specific Death Rate,75 Years & Over,110.4
1982,Male Age Specific Death Rate,70 Years & Over,82.3
1982,Male Age Specific Death Rate,75 - 79 Years,na
1982,Male Age Specific Death Rate,80 - 84 Years,na
1982,Male Age Specific Death Rate,85 Years & Over,na
1982,Female Age Specific Death Rate,Under 1 Year,7.3
1982,Female Age Specific Death Rate,1  -  4 Years,0.5
1982,Female Age Specific Death Rate,5  -  9 Years,0.2
1982,Female Age Specific Death Rate,10 - 14 Years,0.3
1982,Female Age Specific Death Rate,15 - 19 Years,0.4
1982,Female Age Specific Death Rate,20 - 24 Years,0.5
1982,Female Age Specific Death Rate,25 - 29 Years,0.7
1982,Female Age Specific Death Rate,30 - 34 Years,0.8
1982,Female Age Specific Death Rate,35 - 39 Years,1
1982,Female Age Specific Death Rate,40 - 44 Years,1.6
1982,Female Age Specific Death Rate,45 - 49 Years,3
1982,Female Age Specific Death Rate,50 - 54 Years,5.5
1982,Female Age Specific Death Rate,55 - 59 Years,8.5
1982,Female Age Specific Death Rate,60 - 64 Years,13.4
1982,Female Age Specific Death Rate,65 - 69 Years,23
1982,Female Age Specific Death Rate,70 - 74 Years,36.4
1982,Female Age Specific Death Rate,75 Years & Over,85.6
1982,Female Age Specific Death Rate,70 Years & Over,61.7
1982,Female Age Specific Death Rate,75 - 79 Years,na
1982,Female Age Specific Death Rate,80 - 84 Years,na
1982,Female Age Specific Death Rate,85 Years & Over,na
1982,Total Age Specific Death Rate,Under 1 Year,9.6
1982,Total Age Specific Death Rate,1  -  4 Years,0.5
1982,Total Age Specific Death Rate,5  -  9 Years,0.3
1982,Total Age Specific Death Rate,10 - 14 Years,0.3
1982,Total Age Specific Death Rate,15 - 19 Years,0.6
1982,Total Age Specific Death Rate,20 - 24 Years,0.8
1982,Total Age Specific Death Rate,25 - 29 Years,0.8
1982,Total Age Specific Death Rate,30 - 34 Years,1
1982,Total Age Specific Death Rate,35 - 39 Years,1.3
1982,Total Age Specific Death Rate,40 - 44 Years,2.1
1982,Total Age Specific Death Rate,45 - 49 Years,4.1
1982,Total Age Specific Death Rate,50 - 54 Years,7.4
1982,Total Age Specific Death Rate,55 - 59 Years,12.4
1982,Total Age Specific Death Rate,60 - 64 Years,19.2
1982,Total Age Specific Death Rate,65 - 69 Years,30
1982,Total Age Specific Death Rate,70 - 74 Years,47.4
1982,Total Age Specific Death Rate,75 Years & Over,95.3
1982,Total Age Specific Death Rate,70 Years & Over,70.6
1982,Total Age Specific Death Rate,75 - 79 Years,na
1982,Total Age Specific Death Rate,80 - 84 Years,na
1982,Total Age Specific Death Rate,85 Years & Over,na
1983,Male Age Specific Death Rate,Under 1 Year,9.7
1983,Male Age Specific Death Rate,1  -  4 Years,0.6
1983,Male Age Specific Death Rate,5  -  9 Years,0.2
1983,Male Age Specific Death Rate,10 - 14 Years,0.4
1983,Male Age Specific Death Rate,15 - 19 Years,0.8
1983,Male Age Specific Death Rate,20 - 24 Years,1
1983,Male Age Specific Death Rate,25 - 29 Years,0.9
1983,Male Age Specific Death Rate,30 - 34 Years,1.1
