year,level_1,level_2,value
1961,Female Age Specific Death Rate,65 - 69 Years,28.3
1961,Female Age Specific Death Rate,70 - 74 Years,na
1961,Female Age Specific Death Rate,75 Years & Over,na
1961,Female Age Specific Death Rate,70 Years & Over,76.1
1961,Female Age Specific Death Rate,75 - 79 Years,na
1961,Female Age Specific Death Rate,80 - 84 Years,na
1961,Female Age Specific Death Rate,85 Years & Over,na
1961,Total Age Specific Death Rate,Under 1 Year,32.3
1961,Total Age Specific Death Rate,1  -  4 Years,2.7
1961,Total Age Specific Death Rate,5  -  9 Years,0.9
1961,Total Age Specific Death Rate,10 - 14 Years,0.7
1961,Total Age Specific Death Rate,15 - 19 Years,1.2
1961,Total Age Specific Death Rate,20 - 24 Years,1.2
1961,Total Age Specific Death Rate,25 - 29 Years,1.3
1961,Total Age Specific Death Rate,30 - 34 Years,1.6
1961,Total Age Specific Death Rate,35 - 39 Years,2.7
1961,Total Age Specific Death Rate,40 - 44 Years,4.5
1961,Total Age Specific Death Rate,45 - 49 Years,6.8
1961,Total Age Specific Death Rate,50 - 54 Years,12.2
1961,Total Age Specific Death Rate,55 - 59 Years,17.8
1961,Total Age Specific Death Rate,60 - 64 Years,33
1961,Total Age Specific Death Rate,65 - 69 Years,41.1
1961,Total Age Specific Death Rate,70 - 74 Years,na
1961,Total Age Specific Death Rate,75 Years & Over,na
1961,Total Age Specific Death Rate,70 Years & Over,92
1961,Total Age Specific Death Rate,75 - 79 Years,na
1961,Total Age Specific Death Rate,80 - 84 Years,na
1961,Total Age Specific Death Rate,85 Years & Over,na
1962,Male Age Specific Death Rate,Under 1 Year,36.3
1962,Male Age Specific Death Rate,1  -  4 Years,2.5
1962,Male Age Specific Death Rate,5  -  9 Years,0.8
1962,Male Age Specific Death Rate,10 - 14 Years,0.6
1962,Male Age Specific Death Rate,15 - 19 Years,1
1962,Male Age Specific Death Rate,20 - 24 Years,1.3
1962,Male Age Specific Death Rate,25 - 29 Years,1.5
1962,Male Age Specific Death Rate,30 - 34 Years,1.8
1962,Male Age Specific Death Rate,35 - 39 Years,3.1
1962,Male Age Specific Death Rate,40 - 44 Years,4.9
1962,Male Age Specific Death Rate,45 - 49 Years,8.4
1962,Male Age Specific Death Rate,50 - 54 Years,14.6
1962,Male Age Specific Death Rate,55 - 59 Years,22.6
1962,Male Age Specific Death Rate,60 - 64 Years,42.5
1962,Male Age Specific Death Rate,65 - 69 Years,61.5
1962,Male Age Specific Death Rate,70 - 74 Years,na
1962,Male Age Specific Death Rate,75 Years & Over,na
1962,Male Age Specific Death Rate,70 Years & Over,123.9
1962,Male Age Specific Death Rate,75 - 79 Years,na
1962,Male Age Specific Death Rate,80 - 84 Years,na
1962,Male Age Specific Death Rate,85 Years & Over,na
1962,Female Age Specific Death Rate,Under 1 Year,25.9
1962,Female Age Specific Death Rate,1  -  4 Years,2.6
1962,Female Age Specific Death Rate,5  -  9 Years,0.7
1962,Female Age Specific Death Rate,10 - 14 Years,0.6
1962,Female Age Specific Death Rate,15 - 19 Years,0.7
1962,Female Age Specific Death Rate,20 - 24 Years,1
1962,Female Age Specific Death Rate,25 - 29 Years,1
1962,Female Age Specific Death Rate,30 - 34 Years,1.7
